261,2282,1
454,2375,2
652,1811,3
821,1493,4
627,1052,5
517,900,6
405,629,7
454,1550,8
331,1983,9
592,1242,10
590,1498,11
288,2304,1
452,2032,2
638,1838,3
845,1458,4
593,1043,5
518,994,6
389,644,7
420,1741,8
314,1956,9
668,1163,10
571,1537,11
307,2373,1
424,2003,2
656,2006,3
713,1431,4
595,1109,5
526,886,6
400,583,7
409,1657,8
311,1984,9
690,1202,10
520,1532,11
328,2416,1
441,2098,2
547,1960,3
875,1470,4
635,1078,5
526,850,6
396,561,7
426,1610,8
311,1796,9
654,1195,10
514,1545,11
290,2215,1
368,2105,2
509,1795,3
889,1472,4
621,1033,5
486,870,6
368,619,7
400,1200,8
307,1416,9
539,1301,10
479,1419,11
257,2263,1
345,2089,2
409,1845,3
805,1379,4
570,1040,5
486,873,6
370,714,7
452,1332,8
330,1545,9
471,1239,10
500,1399,11
290,2255,1
338,2161,2
563,2023,3
755,1413,4
570,1007,5
470,872,6
360,632,7
423,1198,8
251,1462,9
537,1390,10
420,1391,11
251,2223,1
390,2079,2
473,1979,3
839,1345,4
503,970,5
443,907,6
353,637,7
381,1158,8
278,1314,9
587,1347,10
466,1417,11
235,2552,1
378,2438,2
609,2097,3
1121,1712,4
574,994,5
457,797,6
324,524,7
421,1222,8
294,1315,9
922,1224,10
462,1252,11
270,2479,1
411,2369,2
721,2130,3
1021,1578,4
587,996,5
490,816,6
367,573,7
424,1150,8
272,1527,9
805,1191,10
428,1224,11
238,2434,1
421,2360,2
720,2191,3
1113,1724,4
455,986,5
508,890,6
381,614,7
446,1252,8
250,1589,9
805,1107,10
464,1282,11
295,2459,1
366,2442,2
706,1950,3
1127,1695,4
570,989,5
496,811,6
391,571,7
436,1174,8
281,1576,9
738,1124,10
515,1278,11
295,1962,1
346,2000,2
518,1677,3
963,1370,4
531,1044,5
452,830,6
386,654,7
353,1087,8
297,1446,9
500,1224,10
461,1334,11
291,1996,1
342,1974,2
444,1985,3
1049,1459,4
620,1092,5
451,782,6
335,570,7
370,1100,8
229,1241,9
620,1107,10
449,1273,11
309,1983,1
374,1930,2
523,1694,3
956,1292,4
637,1066,5
454,826,6
452,535,7
369,1153,8
262,1605,9
587,1207,10
431,1347,11
269,2045,1
335,1996,2
515,1726,3
1009,1396,4
562,1081,5
433,891,6
469,654,7
357,1281,8
303,1589,9
572,1218,10
486,1344,11
244,2632,1
414,2311,2
682,1862,3
786,1375,4
668,1038,5
520,878,6
369,755,7
453,1275,8
332,1917,9
670,1177,10
537,1366,11
268,2640,1
454,2256,2
737,1912,3
839,1476,4
699,1027,5
410,851,6
419,540,7
393,1223,8
251,1660,9
679,1155,10
499,1364,11
284,2627,1
389,2278,2
704,1963,3
931,1468,4
762,1068,5
486,855,6
445,753,7
417,1125,8
268,1778,9
784,1178,10
533,1314,11
253,2612,1
415,2191,2
673,2070,3
870,1457,4
704,1090,5
533,919,6
454,830,7
453,1245,8
302,1627,9
744,1170,10
546,1332,11
